Period,Volume (MWh),Price (€/MWh)
00:00-00:15,68.2,95.69
00:15-00:30,62.8,95.02
00:30-00:45,61.9,88.00
00:45-01:00,79.8,82.08
01:00-01:15,35.9,88.50
01:15-01:30,43.9,83.68
01:30-01:45,38.0,83.42
01:45-02:00,43.6,80.00
02:00-02:15,34.1,86.22
02:15-02:30,33.8,84.21
02:30-02:45,43.7,80.40
02:45-03:00,51.7,77.55
03:00-03:15,68.5,79.41
03:15-03:30,67.9,75.00
03:30-03:45,75.4,74.99
03:45-04:00,79.8,72.69
04:00-04:15,78.6,73.01
04:15-04:30,78.4,72.25
04:30-04:45,88.8,72.56
04:45-05:00,84.3,74.99
05:00-05:15,94.6,68.66
05:15-05:30,85.3,73.01
05:30-05:45,83.6,77.13
05:45-06:00,90.6,85.20
06:00-06:15,90.6,76.34
06:15-06:30,62.7,82.29
06:30-06:45,46.3,89.47
06:45-07:00,72.2,93.02
07:00-07:15,37.3,91.00
07:15-07:30,43.6,94.91
07:30-07:45,55.9,97.84
07:45-08:00,64.7,100.41
08:00-08:15,38.7,133.07
08:15-08:30,35.9,135.07
08:30-08:45,18.4,116.50
08:45-09:00,51.3,97.69
09:00-09:15,56.9,142.04
09:15-09:30,29.2,119.29
09:30-09:45,36.8,110.83
09:45-10:00,37.1,92.00
10:00-10:15,51.7,110.44
10:15-10:30,60.6,95.81
10:30-10:45,52.7,93.00
10:45-11:00,64.2,79.99
11:00-11:15,75.0,93.70
11:15-11:30,63.9,85.70
11:30-11:45,66.0,82.04
11:45-12:00,50.7,76.70
12:00-12:15,66.6,79.09
12:15-12:30,74.9,78.00
12:30-12:45,65.9,71.10
12:45-13:00,86.1,60.22
13:00-13:15,67.7,55.38
13:15-13:30,64.0,52.38
13:30-13:45,63.6,47.00
13:45-14:00,69.1,38.00
14:00-14:15,77.4,49.34
14:15-14:30,76.2,48.12
14:30-14:45,81.1,44.30
14:45-15:00,80.3,45.13
15:00-15:15,66.8,38.04
15:15-15:30,78.1,50.32
15:30-15:45,76.2,43.83
15:45-16:00,64.3,45.01
16:00-16:15,92.8,39.00
16:15-16:30,90.7,47.70
16:30-16:45,88.4,54.50
16:45-17:00,104.6,70.00
17:00-17:15,118.9,63.00
17:15-17:30,120.6,75.00
17:30-17:45,120.1,83.12
17:45-18:00,98.3,91.13
18:00-18:15,77.8,79.67
18:15-18:30,60.9,91.77
18:30-18:45,58.0,112.90
18:45-19:00,69.5,140.09
19:00-19:15,35.3,118.96
19:15-19:30,31.2,126.01
19:30-19:45,36.5,127.64
19:45-20:00,56.2,118.58
20:00-20:15,118.6,117.19
20:15-20:30,93.9,111.34
20:30-20:45,80.3,104.67
20:45-21:00,88.7,100.00
21:00-21:15,79.9,105.10
21:15-21:30,74.4,100.11
21:30-21:45,71.1,95.64
21:45-22:00,70.4,89.46
22:00-22:15,33.8,97.69
22:15-22:30,32.5,93.53
22:30-22:45,24.6,93.66
22:45-23:00,35.6,90.70
23:00-23:15,51.6,99.72
23:15-23:30,62.3,96.97
23:30-23:45,39.9,91.36
23:45-24:00,80.5,85.30
